movie_name,movie_intro,star_num,people_num,movie_type
鬼子来了,对敌人的仁慈，就是对自己残忍。,9.2,238399,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..."
美丽人生,最美的谎言。,9.5,433628,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni..."
千与千寻,最好的宫崎骏，最好的久石让。 ,9.2,692808,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy..."
辛德勒的名单,拯救一个人，就是拯救整个世界。,9.4,398425,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson..."
泰坦尼克号,失去的才是永恒的。 ,9.2,682800,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo..."
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,791668,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le..."
机器人总动员,小瓦力，大人生。,9.3,517492,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..."
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,618799,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ..."
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.1,701247,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..."
忠犬八公的故事,永远都不能忘记你所爱的人。,9.2,477199,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger..."
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.2,471196,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra..."
大话西游之大圣娶亲,一生所爱。,9.2,509590,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..."
教父,千万不要记恨你的对手，这样会让你失去理智。,9.2,356996,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M..."
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.1,434800,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..."
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.1,477796,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..."
乱世佳人,Tomorrow is another day.,9.2,280074,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托..."
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,276230,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..."
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,319160,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel..."
触不可及,满满温情的高雅喜剧。,9.1,380407,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..."
当幸福来敲门,平民励志片。 ,8.9,559099,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..."
无间道,香港电影史上永不过时的杰作。,9.0,416742,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生"
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.1,505903,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc..."
十二怒汉,1957年的理想主义。 ,9.4,178058,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..."
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,414685,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉..."
怦然心动,真正的幸福是来自内心深处。,8.9,572258,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡..."
指环王3：王者无敌,史诗的终章。,9.1,293826,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ..."
千与千寻,最好的宫崎骏，最好的久石让。 ,9.2,692808,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy..."
辛德勒的名单,拯救一个人，就是拯救整个世界。,9.4,398425,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson..."
泰坦尼克号,失去的才是永恒的。 ,9.2,682800,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo..."
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,791668,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le..."
机器人总动员,小瓦力，大人生。,9.3,517492,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..."
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,618799,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ..."
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.1,701247,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..."
忠犬八公的故事,永远都不能忘记你所爱的人。,9.2,477199,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger..."
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.2,471196,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra..."
大话西游之大圣娶亲,一生所爱。,9.2,509590,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..."
教父,千万不要记恨你的对手，这样会让你失去理智。,9.2,356996,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M..."
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.1,434800,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..."
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.1,477796,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..."
乱世佳人,Tomorrow is another day.,9.2,280074,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托..."
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,276230,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..."
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,319160,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel..."
触不可及,满满温情的高雅喜剧。,9.1,380407,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..."
当幸福来敲门,平民励志片。 ,8.9,559099,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..."
无间道,香港电影史上永不过时的杰作。,9.0,416742,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生"
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.1,505903,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc..."
十二怒汉,1957年的理想主义。 ,9.4,178058,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..."
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,414685,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉..."
怦然心动,真正的幸福是来自内心深处。,8.9,572258,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡..."
指环王3：王者无敌,史诗的终章。,9.1,293826,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ..."
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,9.0,597132,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa..."
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,9.4,872905,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ..."
阿甘正传,一部美国近现代史。,9.4,742603,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise"
美丽人生,最美的谎言。,9.5,433628,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni..."
千与千寻,最好的宫崎骏，最好的久石让。 ,9.2,692808,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy..."
辛德勒的名单,拯救一个人，就是拯救整个世界。,9.4,398425,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson..."
泰坦尼克号,失去的才是永恒的。 ,9.2,682800,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo..."
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,791668,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le..."
机器人总动员,小瓦力，大人生。,9.3,517492,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..."
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,618799,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ..."
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.1,701247,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..."
忠犬八公的故事,永远都不能忘记你所爱的人。,9.2,477199,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger..."
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.2,471196,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra..."
大话西游之大圣娶亲,一生所爱。,9.2,509590,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..."
教父,千万不要记恨你的对手，这样会让你失去理智。,9.2,356996,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M..."
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.1,434800,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..."
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.1,477796,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..."
乱世佳人,Tomorrow is another day.,9.2,280074,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托..."
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,276230,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..."
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,319160,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel..."
触不可及,满满温情的高雅喜剧。,9.1,380407,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..."
当幸福来敲门,平民励志片。 ,8.9,559099,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..."
无间道,香港电影史上永不过时的杰作。,9.0,416742,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生"
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.1,505903,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc..."
十二怒汉,1957年的理想主义。 ,9.4,178058,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..."
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,414685,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉..."
泰坦尼克号,失去的才是永恒的。 ,9.2,682800,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo..."
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,791668,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le..."
机器人总动员,小瓦力，大人生。,9.3,517492,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..."
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,618799,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ..."
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.1,701247,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..."
忠犬八公的故事,永远都不能忘记你所爱的人。,9.2,477199,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger..."
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.2,471196,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra..."
大话西游之大圣娶亲,一生所爱。,9.2,509590,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..."
教父,千万不要记恨你的对手，这样会让你失去理智。,9.2,356996,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M..."
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.1,434800,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..."
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.1,477796,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..."
乱世佳人,Tomorrow is another day.,9.2,280074,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托..."
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,276230,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..."
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,319160,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel..."
触不可及,满满温情的高雅喜剧。,9.1,380407,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..."
当幸福来敲门,平民励志片。 ,8.9,559099,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..."
无间道,香港电影史上永不过时的杰作。,9.0,416742,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生"
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.1,505903,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc..."
十二怒汉,1957年的理想主义。 ,9.4,178058,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..."
搏击俱乐部,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,414685,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉..."
怦然心动,真正的幸福是来自内心深处。,8.9,572258,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡..."
指环王3：王者无敌,史诗的终章。,9.1,293826,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ..."
少年派的奇幻漂流,瑰丽壮观、无人能及的冒险之旅。,9.0,597132,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 拉菲·斯波 Rafe Spa..."
鬼子来了,对敌人的仁慈，就是对自己残忍。,9.2,238399,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /..."
天空之城,对天空的追逐，永不停止。 ,9.0,344128,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke..."
霸王别姬,风华绝代。,9.5,663411,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha..."
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,9.4,872905,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ..."
阿甘正传,一部美国近现代史。,9.4,742603,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise"
美丽人生,最美的谎言。,9.5,433628,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni..."
千与千寻,最好的宫崎骏，最好的久石让。 ,9.2,692808,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy..."
辛德勒的名单,拯救一个人，就是拯救整个世界。,9.4,398425,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson..."
泰坦尼克号,失去的才是永恒的。 ,9.2,682800,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo..."
盗梦空间,诺兰给了我们一场无法盗取的梦。,9.3,791668,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le..."
机器人总动员,小瓦力，大人生。,9.3,517492,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽..."
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2,618799,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ..."
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,9.1,701247,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡..."
忠犬八公的故事,永远都不能忘记你所爱的人。,9.2,477199,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger..."
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,9.2,471196,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra..."
大话西游之大圣娶亲,一生所爱。,9.2,509590,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng..."
教父,千万不要记恨你的对手，这样会让你失去理智。,9.2,356996,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M..."
龙猫,人人心中都有个龙猫，童年就永远不会消失。,9.1,434800,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch..."
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,9.1,477796,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau..."
乱世佳人,Tomorrow is another day.,9.2,280074,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 托..."
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2,276230,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ..."
天堂电影院,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1,319160,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel..."
触不可及,满满温情的高雅喜剧。,9.1,380407,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主..."
当幸福来敲门,平民励志片。 ,8.9,559099,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ..."
无间道,香港电影史上永不过时的杰作。,9.0,416742,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生"
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,9.1,505903,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc..."
十二怒汉,1957年的理想主义。 ,9.4,178058,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti..."
